date,cleanText,sentiment,sentiment_positive,sentiment_neutral,sentiment_negative
2011-12-01,I made the volume on the Model S go to 11. Now I just need to work in a miniature Stonehenge...,neutral,0.06132848188281059,0.8745381832122803,0.06413331627845764
2011-12-22,Model S options are out! Performance in red and black for me. I will deliver my car in June/July.,neutral,0.06006262078881264,0.9237791299819946,0.016158277168869972
2011-12-31,Hacked my Tesla charge connector on a small island in the rain last night,negative,0.05549512803554535,0.26104363799095154,0.6834612488746643
2012-01-06,Model S Signature series sold out as of today Feb is huge month. Model X world premier and public reveal of our LA design studio on the 9th. Stay tuned for more details.,neutral,0.047090090811252594,0.9324283003807068,0.020481588318943977
2012-01-11,"The exec conf room at Tesla used to be called Denali, but I decided to move a few letters around. Seemed more apt :)",neutral,0.033612921833992004,0.9322788715362549,0.03410825878381729
2012-01-12,"Kids these days are so grown up! RT ""Second-Graders Wow Audience With School Production Of Equus"" Model S Performance powertrain produced so much torque today that we broke the dyno. 4.4 sec 0-60 mph will not be a problem.",neutral,0.20086954534053802,0.7779807448387146,0.021149663254618645
2012-01-13,"A Tesla Roadster just passed the 100,000 mile mark for the first time and still has over 200 miles of range.",neutral,0.33268439769744873,0.6539343595504761,0.013381212018430233
2012-01-17,"That's not just paranoia (a healthy trait at times). Tesla really is under massive attack by short sellers Will communicate better in the future. Too many people want us to fail and are willing to twist any bit of news against Tesla. TSLA down ~$500M Friday, but back up ~$500M today. Sorry for the roller coaster.",negative,0.0420447438955307,0.07796265929937363,0.8799926042556763
2012-01-28,The Model X unveiling will be webcast live on at 8pm on Feb 9th. Most cars are pretty blah. This is not.,neutral,0.04082462564110756,0.9226206541061401,0.0365547239780426
2012-02-02,The most interesting view of the Model X is really with the doors open,neutral,0.05928109213709831,0.9237589836120605,0.01695994660258293
2012-02-07,"Yes, we will unveil a fully functional advanced prototype of the Model X -- almost identical to production.",neutral,0.3776499032974243,0.6129018664360046,0.00944819301366806
2012-02-09,"Model X sketch showing just a bit more leg. Unveiling tonight... Btw, Foster the People is playing the Model X event tonight. Seemed like the right vibe.",neutral,0.09643805772066116,0.8866504430770874,0.016911504790186882
2012-02-10,"Tesla Model X is 3rd most searched term on Google, right after purple squirrel. Damn you squirrel! Tesla Model X video",neutral,0.05048910900950432,0.8784835934638977,0.07102731615304947
2012-02-14,Model X review by Jim Motavalli. I think he likes the car.,neutral,0.10973112285137177,0.8734666705131531,0.01680222898721695
2012-02-17,Important point highlighted by : an electric car in California produces only 1/4 CO2 of gasoline,neutral,0.04455048590898514,0.9389416575431824,0.016507849097251892
2012-03-07,The President of Serbia came by our booth at the Geneva Motor Show and talked about Nikola Tesla,neutral,0.1041598916053772,0.8793545365333557,0.016485530883073807
2012-03-28,"The Model S beta endurance car just passed 150,000 miles on a single battery pack!",neutral,0.09072978049516678,0.8947994709014893,0.014470791444182396
